code,label,total,age,male,female
FI1D2,Pohjois-Savo (NUTS 2021),:,20-24,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,20-24,:,:
FI1D5,Keski-Pohjanmaa,3222,20-24,1804,1418
FI1D7,Lappi,8367,20-24,4321,4046
FI1D8,Kainuu,2995,20-24,1789,1206
FI1D9,Pohjois-Pohjanmaa,26079,20-24,13999,12080
FI1DA,Etelä-Savo,5255,20-24,2991,2264
FI1DB,Pohjois-Savo,13302,20-24,6650,6652
FI1DC,Pohjois-Karjala,9585,20-24,4751,4834
FI2,Åland,1189,20-24,670,519
FI20,Åland,1189,20-24,670,519
FI200,Åland,1189,20-24,670,519
FI,Finland,342799,25-29,177061,165738
FI1,Manner-Suomi,341374,25-29,176324,165050
FI19,Länsi-Suomi,84791,25-29,44796,39995
FI193,Keski-Suomi (NUTS 2021),:,25-29,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,25-29,:,:
FI195,Pohjanmaa (NUTS 2021),:,25-29,:,:
FI196,Satakunta,10473,25-29,5627,4846
FI197,Pirkanmaa (NUTS 2021),:,25-29,:,:
FI198,Keski-Suomi,17219,25-29,9205,8014
FI199,Etelä-Pohjanmaa,9304,25-29,5004,4300
FI19A,Pohjanmaa,10314,25-29,5642,4672
FI19B,Pirkanmaa,37481,25-29,19318,18163
FI1B,Helsinki-Uusimaa,124003,25-29,61610,62393
FI1B1,Helsinki-Uusimaa,124003,25-29,61610,62393
FI1C,Etelä-Suomi,62776,25-29,32914,29862
FI1C1,Varsinais-Suomi,30970,25-29,15886,15084
FI1C2,Kanta-Häme,7977,25-29,4256,3721
FI1C3,Päijät-Häme (NUTS 2021),:,25-29,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,25-29,:,:
FI1C5,Etelä-Karjala,6225,25-29,3490,2735
FI1C6,Päijät-Häme,10137,25-29,5179,4958
FI1C7,Kymenlaakso,7467,25-29,4103,3364
FI1D,Pohjois- ja Itä-Suomi,69804,25-29,37004,32800
FI1D1,Etelä-Savo (NUTS 2021),:,25-29,:,:
FI1D2,Pohjois-Savo (NUTS 2021),:,25-29,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,25-29,:,:
FI1D5,Keski-Pohjanmaa,3443,25-29,1805,1638
FI1D7,Lappi,9174,25-29,4682,4492
FI1D8,Kainuu,3190,25-29,1851,1339
FI1D9,Pohjois-Pohjanmaa,25596,25-29,13636,11960
FI1DA,Etelä-Savo,5548,25-29,2995,2553
FI1DB,Pohjois-Savo,13905,25-29,7284,6621
FI1DC,Pohjois-Karjala,8948,25-29,4751,4197
FI2,Åland,1425,25-29,737,688
FI20,Åland,1425,25-29,737,688
FI200,Åland,1425,25-29,737,688
FI,Finland,378723,30-34,195751,182972
FI1,Manner-Suomi,376804,30-34,194756,182048
FI19,Länsi-Suomi,88701,30-34,46250,42451
FI193,Keski-Suomi (NUTS 2021),:,30-34,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,30-34,:,:
FI195,Pohjanmaa (NUTS 2021),:,30-34,:,:
FI196,Satakunta,11603,30-34,6154,5449
FI197,Pirkanmaa (NUTS 2021),:,30-34,:,:
FI198,Keski-Suomi,16894,30-34,8988,7906
FI199,Etelä-Pohjanmaa,10561,30-34,5421,5140
FI19A,Pohjanmaa,11137,30-34,5895,5242
FI19B,Pirkanmaa,38506,30-34,19792,18714
FI1B,Helsinki-Uusimaa,143679,30-34,72985,70694
FI1B1,Helsinki-Uusimaa,143679,30-34,72985,70694
FI1C,Etelä-Suomi,68563,30-34,35757,32806
FI1C1,Varsinais-Suomi,32770,30-34,16992,15778
FI1C2,Kanta-Häme,9214,30-34,4755,4459
FI1C3,Päijät-Häme (NUTS 2021),:,30-34,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,30-34,:,:
FI1C5,Etelä-Karjala,6704,30-34,3618,3086
FI1C6,Päijät-Häme,11616,30-34,6027,5589
FI1C7,Kymenlaakso,8259,30-34,4365,3894
FI1D,Pohjois- ja Itä-Suomi,75861,30-34,39764,36097
FI1D1,Etelä-Savo (NUTS 2021),:,30-34,:,:
